Indicadores Urbanos
Indicadores Urbanos
Indicadores Urban Audit para Áreas Submunicipales (2015)
Unidades: Personas, Porcentaje, Euros
    2015
Zaragoza sub-city dist. No. 1-A
    Población residente (Personas)  24223.0
    Proporción de población >65 años (Porcentaje)   5109
    Proporción de nacionales sobre la población total (Porcentaje)  18925
    Proporción de extranjeros sobre la población total (Porcentaje) 5298
    Renta neta media anual de los hogares (Euros)   24393.83
Zaragoza sub-city dist. No. 1-B
    Población residente (Personas)  18532.0
    Proporción de población >65 años (Porcentaje)   4231
    Proporción de nacionales sobre la población total (Porcentaje)  16410
    Proporción de extranjeros sobre la población total (Porcentaje) 2122
    Renta neta media anual de los hogares (Euros)   27380.71
Zaragoza sub-city dist. No. 2-A
    Población residente (Personas)  15892.0
    Proporción de población >65 años (Porcentaje)   4575
    Proporción de nacionales sobre la población total (Porcentaje)  14632
    Proporción de extranjeros sobre la población total (Porcentaje) 1260
    Renta neta media anual de los hogares (Euros)   37924.34
Zaragoza sub-city dist. No. 2-B
    Población residente (Personas)  15698.0
    Proporción de población >65 años (Porcentaje)   29.79
    Proporción de nacionales sobre la población total (Porcentaje)  14811
    Proporción de extranjeros sobre la población total (Porcentaje) 887
    Renta neta media anual de los hogares (Euros)   45421.65
Zaragoza sub-city dist. No. 2-C
    Población residente (Personas)  8861.0
    Proporción de población >65 años (Porcentaje)   2583
    Proporción de nacionales sobre la población total (Porcentaje)  8373
    Proporción de extranjeros sobre la población total (Porcentaje) 488
    Renta neta media anual de los hogares (Euros)   44227.42
Zaragoza sub-city dist. No. 2-D
    Población residente (Personas)  10472.0
    Proporción de población >65 años (Porcentaje)   2872
    Proporción de nacionales sobre la población total (Porcentaje)  9885
    Proporción de extranjeros sobre la población total (Porcentaje) 587
    Renta neta media anual de los hogares (Euros)   46060.93
Zaragoza sub-city dist. No. 3-A
    Población residente (Personas)  16875.0
    Proporción de población >65 años (Porcentaje)   4642
    Proporción de nacionales sobre la población total (Porcentaje)  14102
    Proporción de extranjeros sobre la población total (Porcentaje) 2773
    Renta neta media anual de los hogares (Euros)   22813.94
Zaragoza sub-city dist. No. 3-B
    Población residente (Personas)  19407.0
    Proporción de población >65 años (Porcentaje)   4848
    Proporción de nacionales sobre la población total (Porcentaje)  16983
    Proporción de extranjeros sobre la población total (Porcentaje) 2424
    Renta neta media anual de los hogares (Euros)   32117.94
Zaragoza sub-city dist. No. 3-C
    Población residente (Personas)  27828.0
    Proporción de población >65 años (Porcentaje)   6690
    Proporción de nacionales sobre la población total (Porcentaje)  23676
    Proporción de extranjeros sobre la población total (Porcentaje) 4152
    Renta neta media anual de los hogares (Euros)   27582.78
Zaragoza sub-city dist. No. 3-D
    Población residente (Personas)  20755.0
    Proporción de población >65 años (Porcentaje)   4711.385
    Proporción de nacionales sobre la población total (Porcentaje)  15882
    Proporción de extranjeros sobre la población total (Porcentaje) 4873
    Renta neta media anual de los hogares (Euros)   22416.64
Zaragoza sub-city dist. No. 3-E
    Población residente (Personas)  17519.0
    Proporción de población >65 años (Porcentaje)   4607
    Proporción de nacionales sobre la población total (Porcentaje)  14331
    Proporción de extranjeros sobre la población total (Porcentaje) 3188
    Renta neta media anual de los hogares (Euros)   29342.14
Zaragoza sub-city dist. No. 4-A
    Población residente (Personas)  19812.0
    Proporción de población >65 años (Porcentaje)   5434
    Proporción de nacionales sobre la población total (Porcentaje)  17431
    Proporción de extranjeros sobre la población total (Porcentaje) 2381
    Renta neta media anual de los hogares (Euros)   32948.93
Zaragoza sub-city dist. No. 4-B
    Población residente (Personas)  18056.0
    Proporción de población >65 años (Porcentaje)   5243
    Proporción de nacionales sobre la población total (Porcentaje)  16660
    Proporción de extranjeros sobre la población total (Porcentaje) 1396
    Renta neta media anual de los hogares (Euros)   39829.51
Zaragoza sub-city dist. No. 4-C
    Población residente (Personas)  16157.0
    Proporción de población >65 años (Porcentaje)   3005
    Proporción de nacionales sobre la población total (Porcentaje)  15535
    Proporción de extranjeros sobre la población total (Porcentaje) 622
    Renta neta media anual de los hogares (Euros)   48150.94
Zaragoza sub-city dist. No. 4-D
    Población residente (Personas)  34205.0
    Proporción de población >65 años (Porcentaje)   1775
    Proporción de nacionales sobre la población total (Porcentaje)  32874
    Proporción de extranjeros sobre la población total (Porcentaje) 1330
    Renta neta media anual de los hogares (Euros)   34761.85
Zaragoza sub-city dist. No. 5-A
    Población residente (Personas)  16205.0
    Proporción de población >65 años (Porcentaje)   4437
    Proporción de nacionales sobre la población total (Porcentaje)  14243
    Proporción de extranjeros sobre la población total (Porcentaje) 1962
    Renta neta media anual de los hogares (Euros)   29138.86
Zaragoza sub-city dist. No. 5-B
    Población residente (Personas)  14113.0
    Proporción de población >65 años (Porcentaje)   3355
    Proporción de nacionales sobre la población total (Porcentaje)  12527
    Proporción de extranjeros sobre la población total (Porcentaje) 1586
    Renta neta media anual de los hogares (Euros)   26329.32
Zaragoza sub-city dist. No. 5-C
    Población residente (Personas)  16894.0
    Proporción de población >65 años (Porcentaje)   3864
    Proporción de nacionales sobre la población total (Porcentaje)  14824
    Proporción de extranjeros sobre la población total (Porcentaje) 2070
    Renta neta media anual de los hogares (Euros)   24620.9
Zaragoza sub-city dist. No. 5-D
    Población residente (Personas)  15786.0
    Proporción de población >65 años (Porcentaje)   4191
    Proporción de nacionales sobre la población total (Porcentaje)  13357
    Proporción de extranjeros sobre la población total (Porcentaje) 2429
    Renta neta media anual de los hogares (Euros)   27550.53
Zaragoza sub-city dist. No. 6-A
    Población residente (Personas)  22984.0
    Proporción de población >65 años (Porcentaje)   6095
    Proporción de nacionales sobre la población total (Porcentaje)  19831
    Proporción de extranjeros sobre la población total (Porcentaje) 3153
    Renta neta media anual de los hogares (Euros)   23334.1
Zaragoza sub-city dist. No. 6-B
    Población residente (Personas)  19265.0
    Proporción de población >65 años (Porcentaje)   4414
    Proporción de nacionales sobre la población total (Porcentaje)  17069
    Proporción de extranjeros sobre la población total (Porcentaje) 2196
    Renta neta media anual de los hogares (Euros)   25906.79
Zaragoza sub-city dist. No. 7
    Población residente (Personas)  25011.0
    Proporción de población >65 años (Porcentaje)   3497
    Proporción de nacionales sobre la población total (Porcentaje)  22880
    Proporción de extranjeros sobre la población total (Porcentaje) 2131
    Renta neta media anual de los hogares (Euros)   30902.05
Zaragoza sub-city dist. No. 8-A
    Población residente (Personas)  15790.0
    Proporción de población >65 años (Porcentaje)   2207
    Proporción de nacionales sobre la población total (Porcentaje)  14931
    Proporción de extranjeros sobre la población total (Porcentaje) 859
    Renta neta media anual de los hogares (Euros)   36853.71
Zaragoza sub-city dist. No. 8-B
    Población residente (Personas)  24606.0
    Proporción de población >65 años (Porcentaje)   3002
    Proporción de nacionales sobre la población total (Porcentaje)  22116
    Proporción de extranjeros sobre la población total (Porcentaje) 2490
    Renta neta media anual de los hogares (Euros)   29357.43
Zaragoza sub-city dist. No. 9
    Población residente (Personas)  36286.0
    Proporción de población >65 años (Porcentaje)   7377
    Proporción de nacionales sobre la población total (Porcentaje)  32396
    Proporción de extranjeros sobre la población total (Porcentaje) 3890
    Renta neta media anual de los hogares (Euros)   24786.83
Zaragoza sub-city dist. No. 10-A
    Población residente (Personas)  21503.0
    Proporción de población >65 años (Porcentaje)   2544
    Proporción de nacionales sobre la población total (Porcentaje)  20628
    Proporción de extranjeros sobre la población total (Porcentaje) 875
    Renta neta media anual de los hogares (Euros)   32761.33
Zaragoza sub-city dist. No. 10-B
    Población residente (Personas)  27240.0
    Proporción de población >65 años (Porcentaje)   4032
    Proporción de nacionales sobre la población total (Porcentaje)  26371
