distrito,fecha,cantidad
Actur-Arrabal, 1987, 0.88
Actur-Arrabal, 1991, 2.42
Actur-Arrabal, 1995, 7.41
Actur-Arrabal, 1999, 17.06
Actur-Arrabal, 2003, 22.78
Actur-Arrabal, 2007, 11.94
Actur-Arrabal, 2011, 11.49
Actur-Arrabal, 2015, 8.10
Actur-Arrabal, 2019, 5.43
Aljaferia, 1987, 0.79
Aljaferia, 1991, 2.56
Aljaferia, 1995, 7.40
Aljaferia, 1999, 16.53
Aljaferia, 2003, 22.01
Aljaferia, 2007, 11.95
Aljaferia, 2011, 10.48
Aljaferia, 2015, 6.99
Aljaferia, 2019, 5.26
Casco Viejo, 1987, 0.59
Casco Viejo, 1991, 2.01
Casco Viejo, 1995, 4.82
Casco Viejo, 1999, 10.71
Casco Viejo, 2003, 15.85
Casco Viejo, 2007, 8.17
Casco Viejo, 2011, 7.11
Casco Viejo, 2015, 4.90
Casco Viejo, 2019, 3.97
Centro, 1987, 0.51
Centro, 1991, 1.96
Centro, 1995, 3.33
Centro, 1999, 7.46
Centro, 2003, 10.34
Centro, 2007, 4.63
Centro, 2011, 4.07
Centro, 2015, 3.08
Centro, 2019, 2.19
Delicias, 1987, 0.90
Delicias, 1991, 2.62
Delicias, 1995, 6.53
Delicias, 1999, 14.60
Delicias, 2003, 19.46
Delicias, 2007, 10.14
Delicias, 2011, 10.11
Delicias, 2015, 7.21
Delicias, 2019, 4.83
Barrios Oeste, 1987, 0.55
Barrios Oeste, 1991, 0.98
Barrios Oeste, 1995, 3.22
Barrios Oeste, 1999, 10.42
Barrios Oeste, 2003, 15.90
Barrios Oeste, 2007, 8.53
Barrios Oeste, 2011, 8.84
Barrios Oeste, 2015, 5.99
Barrios Oeste, 2019, 4.25
Barrios Norte, 1987, 0.71
Barrios Norte, 1991, 1.57
Barrios Norte, 1995, 5.41
Barrios Norte, 1999, 13.81
Barrios Norte, 2003, 20.04
Barrios Norte, 2007, 10.82
Barrios Norte, 2011, 10.04
Barrios Norte, 2015, 7.58
Barrios Norte, 2019, 5.89
Las Fuentes, 1987, 0.78
Las Fuentes, 1991, 2.14
Las Fuentes, 1995, 6.55
Las Fuentes, 1999, 15.03
Las Fuentes, 2003, 20.27
Las Fuentes, 2007, 10.89
Las Fuentes, 2011, 10.12
Las Fuentes, 2015, 7.52
Las Fuentes, 2019, 4.92
San Jose, 1987, 0.75
San Jose, 1991, 2.26
San Jose, 1995, 6.17
San Jose, 1999, 13.87
San Jose, 2003, 18.08
San Jose, 2007, 9.38
San Jose, 2011, 9.13
San Jose, 2015, 6.66
San Jose, 2019, 4.79
Torrero, 1987, 0.63
Torrero, 1991, 2.26
Torrero, 1995, 8.01
Torrero, 1999, 16.99
Torrero, 2003, 21.61
Torrero, 2007, 11.69
Torrero, 2011, 10.78
Torrero, 2015, 7.29
Torrero, 2019, 5.53
Universidad, 1987, 0.89
Universidad, 1991, 3.08
Universidad, 1995, 5.32
Universidad, 1999, 10.84
Universidad, 2003, 13.55
Universidad, 2007, 6.70
Universidad, 2011, 7.31
Universidad, 2015, 6.67
Universidad, 2019, 4.50
Via Hispanidad, 1987, 0.58
Via Hispanidad, 1991, 1.58
Via Hispanidad, 1995, 5.43
Via Hispanidad, 1999, 14.45
Via Hispanidad, 2003, 19.43
Via Hispanidad, 2007, 11.88
Via Hispanidad, 2011, 11.19
Via Hispanidad, 2015, 7.50
Via Hispanidad, 2019, 4.50
